name,price,role
Karun Nair (R),56000000,Batsman
Arshdeep Singh (R),2000000,Batsman
Chris Gayle (R),20000000,Batsman
Darshan Nalkande (R),3000000,Batsman
Gowtham Krishnappa (R),62000000,Batsman
Hardus Viljoen (R),7500000,Batsman
Harpreet Brar (R),2000000,Batsman
Mayank Agarwal (R),10000000,Batsman
Nicholas Pooran (R),42000000,Batsman
Sarfaraz Khan (R),2500000,Batsman
Prabhsimran Singh,5500000,Wicket Keeper
KL Rahul (R),110000000,Wicket Keeper
Mandeep Singh (R),14000000,All-Rounder
Glenn Maxwell,107500000,All-Rounder
Chris Jordan,30000000,All-Rounder
Deepak Hooda,5000000,All-Rounder
James Neesham,5000000,All-Rounder
Tajinder Dhillon,2000000,All-Rounder
Ishan Patel,2000000,Bowler
Jagadeesha Suchith (R),2000000,Bowler
Mohammad Shami (R),48000000,Bowler
Ravi Bishnoi,20000000,Bowler
Sheldon Cottrell,85000000,Bowler
Murugan Ashwin (R),2000000,Bowler
Rohit Sharma (R),150000000,Batsman
Anmolpreet Singh (R),8000000,Batsman
Ankul Roy (R),2000000,Batsman
Sherfane Rutherford (R),20000000,Batsman
Suryakumar Yadav (R),32000000,Batsman
Chris Lynn,20000000,Batsman
Saurabh Tiwary,5000000,Batsman
Aditya Tare (R),2000000,Wicket Keeper
Ishan Kishan (R),62000000,Wicket Keeper
Quinton de Kock (R),28000000,Wicket Keeper
Hardik Pandya (R),110000000,All-Rounder
Kieron Pollard (R),54000000,All-Rounder
Krunal Pandya (R),88000000,All-Rounder
Rahul Chahar (R),19000000,All-Rounder
Digvijay Deshmukh,2000000,All-Rounder
Prince Balwant Rai Singh,2000000,All-Rounder
Dhawal Kulkarni (R),7500000,Bowler
Jasprit Bumrah (R),70000000,Bowler
Jayant Yadav (R),5000000,Bowler
Lasith Malinga (R),20000000,Bowler
Mitchell McClenaghan (R),10000000,Bowler
Trent Boult (R),32000000,Bowler
Nathan Coulter-Nile,80000000,Bowler
Mohsin Khan,2000000,Bowler
Shreyas Iyer (R),70000000,Batsman
Ajinkya Rahane (R),52500000,Batsman
Avesh Khan (R),7000000,Batsman
Keemo Paul (R),5000000,Batsman
Prithvi Shaw (R),12000000,Batsman
Shikhar Dhawan (R),52000000,Batsman
Shimron Heymyer,77500000,Batsman
Jason Roy,15000000,Batsman
Rishabh Pant (R),150000000,Wicket Keeper
Alex Carey,24000000,Wicket Keeper
Marcus Stoinis,48000000,All-Rounder
Lalit Yadav,2000000,All-Rounder
Chris Woakes,15000000,All-Rounder
Ravichandran Ashwin (R),76000000,Bowler
Sandeep Lamichhane (R),2000000,Bowler
Axax Patel (R),50000000,Bowler
Harshal Patel (R),2000000,Bowler
Ishant Sharma (R),11000000,Bowler
Kagiso Rabada (R),42000000,Bowler
Mohit Sharma,5000000,Bowler
Tushar Deshpande,2000000,Bowler
Amit Mishra (R),40000000,Bowler
Andre Russell (R),85000000,Batsman
Harry Gurney (R),7500000,Batsman
Kamlesh Nagarkoti (R),32000000,Batsman
Lockie Ferguson (R),16000000,Batsman
Nitish Rana (R),34000000,Batsman
Prasidh Krishna (R),2000000,Batsman
Rinku Singh (R),8000000,Batsman
Shubham Gill (R),18000000,Batsman
Siddhesh Lad (R),2000000,Batsman
Eoin Morgan,52500000,Batsman
Tom Banton,10000000,Batsman
Rahul Tripathi,6000000,Batsman
Dinesh Karthik (R),74000000,Wicket Keeper
Nikhil Shankar Naik,2000000,Wicket Keeper
Sunil Narine (R),125000000,All-Rounder
Pat Cummins,155000000,All-Rounder
Shivam Mavi (R),30000000,All-Rounder
Varun Chakaravarthy,40000000,All-Rounder
Chris Green,2000000,All-Rounder
Kuldeep Yadav (R),58000000,Bowler
Sandeep Warrier (R),2000000,Bowler
Pravin Tambe,2000000,Bowler
M Siddharth,2000000,Bowler
Riyan Parag (R),2000000,Batsman
Shashank Singh (R),3000000,Batsman
Steve Smith (R),125000000,Batsman
Robin Uthappa,30000000,Batsman
David Miller,7500000,Batsman
Manan Vohra (R),2000000,Batsman
Jos Butler (R),44000000,Wicket Keeper
Sanju Samson (R),80000000,Wicket Keeper
Anuj Rawat,8000000,Wicket Keeper
Ben Stokes (R),125000000,All-Rounder
Mahipal Lmoror (R),2000000,All-Rounder
Shreyas Gopal (R),2000000,All-Rounder
Yashasvi Jaiswal,24000000,All-Rounder
Tom Curran,10000000,All-Rounder
Ankit Rajpoot (R),30000000,Bowler
Jofra Archer (R),72000000,Bowler
Mayank Markande (R),20000000,Bowler
Rahul Tweatia (R),30000000,Bowler
Varun Aaron (R),24000000,Bowler
Jaydev Unadkat,30000000,Bowler
Kartik Tyagi,13000000,Bowler
Andrew Tye,10000000,Bowler
Oshane Thomas,5000000,Bowler
Anirudha Ashok Joshi,2000000,All-Rounder
Akash Singh,2000000,Bowler
Virat Kohli (R),170000000,Batsman
AB de Villiers (R),110000000,Batsman
Devdutt Padikkal (R),2000000,Batsman
Gurkeerat Singh (R),5000000,Batsman
Aaron Finch,44000000,Batsman
Shahbaz Ahamad,2000000,Wicket Keeper
Joshua Philippe,2000000,Wicket Keeper
Pathiv Patel (R),17000000,Wicket Keeper
Pawan Negi (R),10000000,All-Rounder
Shivam Dube (R),50000000,All-Rounder
Moeen Ali (R),17000000,All-Rounder
Isuru Udana,5000000,All-Rounder
Pavan Deshpande,2000000,All-Rounder
Christopher Morris,100000000,All-Rounder
Kane Richardson,40000000,Bowler
Dale Steyn,20000000,Bowler
Mohammaed Siraj (R),26000000,Bowler
Navdeep Saini (R),30000000,Bowler
Umesh Yadav (R),42000000,Bowler
Washington Sundar (R),32000000,Bowler
Yuzvendra Chahal (R),60000000,Bowler
Kane Williamson,30000000,Batsman
Abhishek Sharma (R),5500000,Batsman
David Warner (R),125000000,Batsman
Manish Pandey (R),110000000,Batsman
Priyam Garg,19000000,Batsman
Virat Singh,19000000,Batsman
Jonny Bairstow (R),22000000,Wicket Keeper
Shreevats Goswami (R),10000000,Wicket Keeper
Wridhhiman Saha (R),12000000,Wicket Keeper
Vijay Shankar (R),32000000,All-Rounder
Mitchell Marsh,20000000,All-Rounder
Mohammad Nabi (R),10000000,All-Rounder
Fabian Allen,5000000,All-Rounder
Sandeep Bavanaka,2000000,All-Rounder
Sanjay Yadav,2000000,All-Rounder
Abdul Samad,2000000,All-Rounder
Basil Thampi (R),9500000,Bowler
Bhuvneshwar Kumar (R),85000000,Bowler
Billy Stanlake (R),5000000,Bowler
Rashid Khan (R),90000000,Bowler
Sandeep Sharma (R),30000000,Bowler
Shahbaz Nadeem (R),32000000,Bowler
Siddarth Kaul (R),38000000,Bowler
Syed Khaleel Ahmed (R),30000000,Bowler
T Natarajan (R),4000000,Bowler
Ambati Rayadu (R),22000000,Batsman
Monu Singh (R),2000000,Batsman
Murali Vijay (R),20000000,Batsman
Ruturaj Gaikwad (R),2000000,Batsman
Suresh Raine (R),110000000,Batsman
MS Dhoni (R),150000000,Wicket Keeper
Jagadeesan Narayan (R),2000000,Wicket Keeper
Asif K M (R),4000000,All-Rounder
Dwayne Bravo (R),64000000,All-Rounder
Faf du Plessis (R),16000000,All-Rounder
Karn Sharma (R),50000000,All-Rounder
Kedar Jadhav (R),78000000,All-Rounder
Ravindra jadeja (R),70000000,All-Rounder
Shane Watson (R),40000000,All-Rounder
Sam Curran,55000000,All-Rounder
Deepak Chahar (R),8000000,Bowler
Harbhajan Singh (R),20000000,Bowler
Imran Tahir (R),10000000,Bowler
Lungisani Ngidi (R),5000000,Bowler
Mitchell Santner (R),5000000,Bowler
Shardul Thakur (R),26000000,Bowler
Piyush Chawla,67500000,Bowler
Josh Hazlewood,20000000,Bowler
R. Sai Kishore,2000000,Bowler